uuid,full_name,owner,description,archived,fork,pushed_at,size,stargazers_count,open_issues_count,forks_count,subscribers_count,default_branch,last_synced_at,etag,topics,latest_commit_sha,homepage,language,has_issues,has_wiki,has_pages,mirror_url,source_name,license,status,scm,pull_requests_enabled,icon_url,created_at,updated_at,dependencies_parsed_at,dependency_job_id,html_url,previous_names,tags_count,template,template_full_name,repository_url,tags_url,releases_url,manifests_url,owner_url,download_url,metadata.files.readme,metadata.files.changelog,metadata.files.contributing,metadata.files.funding,metadata.files.license,metadata.files.code_of_conduct,metadata.files.threat_model,metadata.files.audit,metadata.files.citation,metadata.files.codeowners,metadata.files.security,metadata.files.support,metadata.files.governance,metadata.files.roadmap,metadata.files.authors,commit_stats.total_commits,commit_stats.total_committers,commit_stats.mean_commits,commit_stats.dds,commit_stats.last_synced_commit,commit_stats,metadata.funding.custom,metadata.funding.github
55336932,home-assistant/iOS,home-assistant,:iphone: Home Assistant for Apple platforms,False,False,2024-01-18T15:09:04.000Z,143691,1351,261,269,78,master,2024-01-19T00:18:48.150Z,,"['hacktoberfest', 'home-assistant', 'home-automation', 'ios', 'macos', 'open-source-app', 'swift']",,https://companion.home-assistant.io,Swift,True,,,,,other,,git,True,https://github.com/home-assistant.png,2016-04-03T08:28:34.000Z,2024-01-18T22:18:25.000Z,2023-11-15T10:32:48.764Z,dc13943e-023a-4d9f-8047-f7c644e081d7,https://github.com/home-assistant/iOS,[],260.0,False,,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/home-assistant%2FiOS,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/home-assistant%2FiOS/tags,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/home-assistant%2FiOS/releases,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/home-assistant%2FiOS/manifests,https://repos.ecosyste.ms/api/v1/hosts/GitHub/owners/home-assistant,https://codeload.github.com/home-assistant/iOS/tar.gz/refs/heads/master,README.md,,CONTRIBUTING.md,,LICENSE.md,CODE_OF_CONDUCT.md,,,,,,,,,,,,,,,,,
489030048,home-assistant/yellow.home-assistant.io,home-assistant,,False,False,2024-01-17T22:18:45.000Z,117483,17,0,14,8,main,2024-01-18T05:41:24.487Z,,['hacktoberfest'],,https://yellow.home-assistant.io,HTML,True,,,,,,,git,True,https://github.com/home-assistant.png,2022-05-05T15:34:55.000Z,2023-12-25T17:49:40.000Z,2024-01-16T11:53:21.558Z,,https://github.com/home-assistant/yellow.home-assistant.io,[],0.0,False,,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/home-assistant%2Fyellow.home-assistant.io,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/home-assistant%2Fyellow.home-assistant.io/tags,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/home-assistant%2Fyellow.home-assistant.io/releases,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/home-assistant%2Fyellow.home-assistant.io/manifests,https://repos.ecosyste.ms/api/v1/hosts/GitHub/owners/home-assistant,https://codeload.github.com/home-assistant/yellow.home-assistant.io/tar.gz/refs/heads/main,README.md,,,,,,,,,,,,,,,,,,,,,,
183358969,home-assistant/companion.home-assistant,home-assistant,:book: Home Assistant Companion docs,False,False,2024-01-17T22:12:09.000Z,13461,68,22,228,14,master,2024-01-18T05:36:52.582Z,,['hacktoberfest'],,https://companion.home-assistant.io/,JavaScript,True,,,,,other,,git,True,https://github.com/home-assistant.png,2019-04-25T04:55:57.000Z,2023-12-26T04:10:11.000Z,2023-09-28T15:59:25.331Z,90ae0a25-c917-473e-a04f-6f357a7a7f1c,https://github.com/home-assistant/companion.home-assistant,[],0.0,False,,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/home-assistant%2Fcompanion.home-assistant,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/home-assistant%2Fcompanion.home-assistant/tags,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/home-assistant%2Fcompanion.home-assistant/releases,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/home-assistant%2Fcompanion.home-assistant/manifests,https://repos.ecosyste.ms/api/v1/hosts/GitHub/owners/home-assistant,https://codeload.github.com/home-assistant/companion.home-assistant/tar.gz/refs/heads/master,README.md,,,,LICENSE.md,CODE_OF_CONDUCT.md,,,,,,,,,,,,,,,,,
678716781,home-assistant/green.home-assistant.io,home-assistant,,False,False,2024-01-16T19:45:41.000Z,8346,2,0,3,37,main,2024-01-17T22:48:22.503Z,,[],,,HTML,True,,,,,,,git,True,https://github.com/home-assistant.png,2023-08-15T07:48:27.000Z,2024-01-17T22:48:22.503Z,2023-10-03T14:57:45.137Z,3e5f9519-25bc-4cda-a64d-e80e7beb7d9b,https://github.com/home-assistant/green.home-assistant.io,['home-assistant/green.home-assistant.io'],0.0,False,,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/home-assistant%2Fgreen.home-assistant.io,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/home-assistant%2Fgreen.home-assistant.io/tags,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/home-assistant%2Fgreen.home-assistant.io/releases,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/home-assistant%2Fgreen.home-assistant.io/manifests,https://repos.ecosyste.ms/api/v1/hosts/GitHub/owners/home-assistant,https://codeload.github.com/home-assistant/green.home-assistant.io/tar.gz/refs/heads/main,README.md,,,,,,,,,,,,,,,,,,,,,,
74852367,home-assistant/home-assistant-js-websocket,home-assistant,:aerial_tramway: JavaScript websocket client for Home Assistant,False,False,2024-01-16T12:10:25.000Z,1339,231,10,76,19,master,2024-01-17T20:06:47.125Z,,"['home-assistant', 'home-automation', 'internet-of-things', 'javascript', 'websocket']",,,TypeScript,True,,,,,other,,git,True,https://github.com/home-assistant.png,2016-11-26T21:48:25.000Z,2024-01-17T20:06:47.127Z,2023-11-28T03:27:35.282Z,7624c1ce-dad7-48fc-b9f5-904b440f5212,https://github.com/home-assistant/home-assistant-js-websocket,[],77.0,False,,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/home-assistant%2Fhome-assistant-js-websocket,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/home-assistant%2Fhome-assistant-js-websocket/tags,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/home-assistant%2Fhome-assistant-js-websocket/releases,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/home-assistant%2Fhome-assistant-js-websocket/manifests,https://repos.ecosyste.ms/api/v1/hosts/GitHub/owners/home-assistant,https://codeload.github.com/home-assistant/home-assistant-js-websocket/tar.gz/refs/heads/master,README.md,,,,LICENSE.md,CODE_OF_CONDUCT.md,,,,,,,,,,420.0,24.0,17.5,0.6238095238095238,73df11045c83426cc3cdcceac3edaa5e38c5b160,,,
183216119,home-assistant/supervised-installer,home-assistant,Installer for a generic Linux system,False,False,2024-01-17T11:15:34.000Z,163,1500,6,561,72,main,2024-01-17T18:44:12.078Z,,['hacktoberfest'],,,Shell,True,,,,,apache-2.0,,git,True,https://github.com/home-assistant.png,2019-04-24T11:35:39.000Z,2024-01-17T16:46:16.000Z,2023-01-31T02:40:12.736Z,db66b2e8-3b78-4b26-841d-d9301f327b09,https://github.com/home-assistant/supervised-installer,[],15.0,False,,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/home-assistant%2Fsupervised-installer,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/home-assistant%2Fsupervised-installer/tags,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/home-assistant%2Fsupervised-installer/releases,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/home-assistant%2Fsupervised-installer/manifests,https://repos.ecosyste.ms/api/v1/hosts/GitHub/owners/home-assistant,https://codeload.github.com/home-assistant/supervised-installer/tar.gz/refs/heads/main,README.md,,,,LICENSE,,,,,,,,,,,,,,,,,,
184234812,home-assistant/wheels,home-assistant,Build wheels for Home Assistant,False,False,2024-01-11T06:41:41.000Z,510,25,1,28,9,master,2024-01-17T01:33:04.647Z,,[],,https://wheels.home-assistant.io,Python,True,,,,,apache-2.0,,git,True,https://github.com/home-assistant.png,2019-04-30T09:39:34.000Z,2023-11-20T12:41:22.000Z,2023-10-23T07:36:27.504Z,918b7902-a1b5-4f10-b4c8-7fcd1e768a3e,https://github.com/home-assistant/wheels,[],71.0,False,,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/home-assistant%2Fwheels,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/home-assistant%2Fwheels/tags,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/home-assistant%2Fwheels/releases,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/home-assistant%2Fwheels/manifests,https://repos.ecosyste.ms/api/v1/hosts/GitHub/owners/home-assistant,https://codeload.github.com/home-assistant/wheels/tar.gz/refs/heads/master,README.md,,,,LICENSE,,,,,,,,,,,492.0,11.0,44.72727272727273,0.5,7f74d1f9a04dc9b72e2e8f979a4237290ee850c1,,,
53466975,home-assistant/homebridge-homeassistant,home-assistant,DEPRECATED in favor of native HomeKit support. -  Homebridge plugin for Home Assistant,True,False,2018-09-05T21:13:00.000Z,258,679,0,154,79,master,2024-01-17T01:21:11.139Z,,"['home-assistant', 'home-automation', 'homebridge-plugin', 'homekit']",,https://www.home-assistant.io/components/homekit/,JavaScript,True,,,,,other,,git,True,https://github.com/home-assistant.png,2016-03-09T04:02:55.000Z,2024-01-17T01:21:11.140Z,2022-08-25T02:20:35.894Z,,https://github.com/home-assistant/homebridge-homeassistant,[],22.0,False,,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/home-assistant%2Fhomebridge-homeassistant,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/home-assistant%2Fhomebridge-homeassistant/tags,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/home-assistant%2Fhomebridge-homeassistant/releases,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/home-assistant%2Fhomebridge-homeassistant/manifests,https://repos.ecosyste.ms/api/v1/hosts/GitHub/owners/home-assistant,https://codeload.github.com/home-assistant/homebridge-homeassistant/tar.gz/refs/heads/master,README.md,,,,LICENSE.md,CODE_OF_CONDUCT.md,,,,,,,,,,,,,,,,,
181371487,home-assistant/builder,home-assistant,Home Assistant builder script,False,False,2024-01-04T08:19:01.000Z,177,57,8,49,9,master,2024-01-16T23:39:25.815Z,,['docker'],,,Shell,True,,,,,apache-2.0,,git,True,https://github.com/home-assistant.png,2019-04-14T21:31:55.000Z,2024-01-15T15:41:20.000Z,2023-02-09T11:31:49.947Z,777b566a-09b1-41a6-9355-0ed856ce32e0,https://github.com/home-assistant/builder,[],72.0,False,,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/home-assistant%2Fbuilder,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/home-assistant%2Fbuilder/tags,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/home-assistant%2Fbuilder/releases,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/home-assistant%2Fbuilder/manifests,https://repos.ecosyste.ms/api/v1/hosts/GitHub/owners/home-assistant,https://codeload.github.com/home-assistant/builder/tar.gz/refs/heads/master,README.md,,,,LICENSE,,,,,,,,,,,165.0,21.0,7.857142857142857,0.4,f25bd07326e1c00b9afe234477a4c0167113dac0,,,
183202565,home-assistant/plugin-cli,home-assistant,CLI implementation for Home Assistant,False,False,2024-01-05T07:26:01.000Z,131,9,0,12,5,master,2024-01-16T23:36:22.781Z,,[],,,Dockerfile,True,,,,,gpl-3.0,,git,True,https://github.com/home-assistant.png,2019-04-24T10:05:16.000Z,2023-09-07T15:20:38.000Z,2024-01-05T08:44:16.666Z,,https://github.com/home-assistant/plugin-cli,[],44.0,False,,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/home-assistant%2Fplugin-cli,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/home-assistant%2Fplugin-cli/tags,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/home-assistant%2Fplugin-cli/releases,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/home-assistant%2Fplugin-cli/manifests,https://repos.ecosyste.ms/api/v1/hosts/GitHub/owners/home-assistant,https://codeload.github.com/home-assistant/plugin-cli/tar.gz/refs/heads/master,README.md,,,,LICENSE,,,,,,,,,,,,,,,,,,
