uuid,full_name,owner,description,archived,fork,pushed_at,size,stargazers_count,open_issues_count,forks_count,subscribers_count,default_branch,last_synced_at,etag,topics,latest_commit_sha,homepage,language,has_issues,has_wiki,has_pages,mirror_url,source_name,license,status,scm,pull_requests_enabled,icon_url,created_at,updated_at,dependencies_parsed_at,dependency_job_id,html_url,previous_names,tags_count,template,template_full_name,repository_url,tags_url,releases_url,manifests_url,owner_url,download_url,metadata.files.readme,metadata.files.changelog,metadata.files.contributing,metadata.files.funding,metadata.files.license,metadata.files.code_of_conduct,metadata.files.threat_model,metadata.files.audit,metadata.files.citation,metadata.files.codeowners,metadata.files.security,metadata.files.support,metadata.files.governance,metadata.files.roadmap,metadata.files.authors,commit_stats.total_commits,commit_stats.total_committers,commit_stats.mean_commits,commit_stats.dds,commit_stats.last_synced_commit,commit_stats
3071996,nasa/visionworkbench,nasa,The NASA Vision Workbench is a general purpose image processing and computer vision library developed by the Autonomous Systems and Robotics (ASR) Area in the Intelligent Systems Division at the NASA Ames Research Center.,False,True,2017-04-03T16:31:12.000Z,24861,265,0,67,57,master,2024-01-16T22:37:04.420Z,,[],,http://ti.arc.nasa.gov/project/nasa-vision-workbench/,C++,False,,,,visionworkbench/visionworkbench,other,,git,True,https://github.com/nasa.png,2011-12-30T00:40:23.000Z,2023-11-08T20:52:18.000Z,,,https://github.com/nasa/visionworkbench,[],0.0,False,,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/nasa%2Fvisionworkbench,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/nasa%2Fvisionworkbench/tags,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/nasa%2Fvisionworkbench/releases,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/nasa%2Fvisionworkbench/manifests,https://repos.ecosyste.ms/api/v1/hosts/GitHub/owners/nasa,https://codeload.github.com/nasa/visionworkbench/tar.gz/refs/heads/master,README,ChangeLog,,,COPYING,,,,,,,,,,,,,,,,
331124191,nasa/harmony-netcdf-to-zarr,nasa,Service for transforming NetCDF4 files into Zarr files within Harmony.  https://github.com/nasa/harmony,False,False,2024-01-16T13:37:32.000Z,561,13,1,10,13,main,2024-01-16T21:10:03.904Z,,[],,,Python,True,,,,,other,,git,True,https://github.com/nasa.png,2021-01-19T22:14:56.000Z,2023-09-19T14:10:19.000Z,2023-01-29T01:30:43.834Z,789aea9b-acc6-48ef-8fb2-39428d0660f4,https://github.com/nasa/harmony-netcdf-to-zarr,[],11.0,False,,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/nasa%2Fharmony-netcdf-to-zarr,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/nasa%2Fharmony-netcdf-to-zarr/tags,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/nasa%2Fharmony-netcdf-to-zarr/releases,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/nasa%2Fharmony-netcdf-to-zarr/manifests,https://repos.ecosyste.ms/api/v1/hosts/GitHub/owners/nasa,https://codeload.github.com/nasa/harmony-netcdf-to-zarr/tar.gz/refs/heads/main,README.md,CHANGELOG.md,,,LICENSE,,,,,,,,,,,,,,,,
78020991,nasa/TrickFMI,nasa,A Functional Mockup Interface (FMI) Standard Implementation for Trick Base Models and Simulations,False,False,2024-01-16T17:03:12.000Z,959,18,2,16,11,master,2024-01-16T21:04:31.875Z,,[],,,C,True,,,,,other,,git,True,https://github.com/nasa.png,2017-01-04T14:07:37.000Z,2023-07-12T03:24:42.000Z,2024-01-04T17:43:27.082Z,dec8c268-187a-44b9-a4a2-2d820bcb5a34,https://github.com/nasa/TrickFMI,[],0.0,False,,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/nasa%2FTrickFMI,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/nasa%2FTrickFMI/tags,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/nasa%2FTrickFMI/releases,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/nasa%2FTrickFMI/manifests,https://repos.ecosyste.ms/api/v1/hosts/GitHub/owners/nasa,https://codeload.github.com/nasa/TrickFMI/tar.gz/refs/heads/master,README.md,,,,LICENSE,,,,,,,,,,,,,,,,
30195147,nasa/api-docs,nasa,api.nasa.gov,False,False,2024-01-04T23:28:55.000Z,17446,405,34,121,49,gh-pages,2024-01-16T12:46:01.436Z,,"['api', 'demo', 'example', 'gov', 'javascript', 'nasa', 'nasa-apis', 'python', 'uswds']",,http://nasa.github.io/api-docs/,SCSS,True,,,,,,,git,True,https://github.com/nasa.png,2015-02-02T16:05:35.000Z,2024-01-13T17:02:35.000Z,2023-12-23T01:35:42.426Z,c5ca39bb-6a89-4bfa-bf37-3ec7d32d369e,https://github.com/nasa/api-docs,[],0.0,,,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/nasa%2Fapi-docs,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/nasa%2Fapi-docs/tags,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/nasa%2Fapi-docs/releases,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/nasa%2Fapi-docs/manifests,https://repos.ecosyste.ms/api/v1/hosts/GitHub/owners/nasa,https://codeload.github.com/nasa/api-docs/tar.gz/refs/heads/gh-pages,README.md,,CONTRIBUTING.md,,,,,,,,,,,,,,,,,,
42130139,nasa/ipv6_python,nasa,,False,False,2021-06-09T21:08:12.000Z,36,48,0,32,17,master,2024-01-16T10:44:23.414Z,,[],,,Python,True,,,,,other,,git,True,https://github.com/nasa.png,2015-09-08T18:07:57.000Z,2023-11-06T20:08:04.000Z,2022-11-03T18:26:26.068Z,,https://github.com/nasa/ipv6_python,[],2.0,,,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/nasa%2Fipv6_python,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/nasa%2Fipv6_python/tags,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/nasa%2Fipv6_python/releases,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/nasa%2Fipv6_python/manifests,https://repos.ecosyste.ms/api/v1/hosts/GitHub/owners/nasa,https://codeload.github.com/nasa/ipv6_python/tar.gz/refs/heads/master,,,,,,,,,,,,,,,,,,,,,
43836312,nasa/VICAR,nasa,,False,False,2022-06-29T16:58:14.000Z,53210,288,2,90,50,master,2024-01-15T23:39:57.687Z,,[],,,,True,,,,,,,git,True,https://github.com/nasa.png,2015-10-07T18:27:02.000Z,2024-01-04T16:01:31.000Z,,0a7baffc-9bf3-4016-bccb-c34e7f234e03,https://github.com/nasa/VICAR,[],0.0,,,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/nasa%2FVICAR,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/nasa%2FVICAR/tags,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/nasa%2FVICAR/releases,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/nasa%2FVICAR/manifests,https://repos.ecosyste.ms/api/v1/hosts/GitHub/owners/nasa,https://codeload.github.com/nasa/VICAR/tar.gz/refs/heads/master,README.md,,,,,,,,,,,,,,,,,,,,
47339880,nasa/NASTRAN-95,nasa,,False,False,2017-01-05T02:02:21.000Z,87810,401,15,212,59,master,2024-01-15T06:39:43.809Z,,[],,,FORTRAN,True,,,,,,,git,True,https://github.com/nasa.png,2015-12-03T15:15:25.000Z,2024-01-12T14:46:20.000Z,,2848749f-4b4d-491f-b87b-ee3a564dace2,https://github.com/nasa/NASTRAN-95,[],0.0,,,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/nasa%2FNASTRAN-95,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/nasa%2FNASTRAN-95/tags,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/nasa%2FNASTRAN-95/releases,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/nasa%2FNASTRAN-95/manifests,https://repos.ecosyste.ms/api/v1/hosts/GitHub/owners/nasa,https://codeload.github.com/nasa/NASTRAN-95/tar.gz/refs/heads/master,README.md,,,,,,,,,,,,,,,,,,,,
253875914,nasa/DTNME,nasa,,False,False,2023-11-30T18:03:04.000Z,3697,16,0,8,7,master,2024-01-14T22:36:00.375Z,,[],,,C++,True,,,,,other,,git,True,https://github.com/nasa.png,2020-04-07T18:14:23.000Z,2023-12-31T20:48:31.000Z,2023-11-30T19:34:34.550Z,,https://github.com/nasa/DTNME,[],0.0,,,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/nasa%2FDTNME,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/nasa%2FDTNME/tags,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/nasa%2FDTNME/releases,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/nasa%2FDTNME/manifests,https://repos.ecosyste.ms/api/v1/hosts/GitHub/owners/nasa,https://codeload.github.com/nasa/DTNME/tar.gz/refs/heads/master,README,,CONTRIBUTING,,LICENSE,,,,,,,,,,,,,,,,
38409236,nasa/DualPol,nasa,Python Interface to Dual-Pol Radar Algorithms (DualPol),False,False,2019-03-07T15:53:26.000Z,4430,38,1,37,11,master,2024-01-14T21:53:19.720Z,,[],,,Jupyter Notebook,True,,,,,other,,git,True,https://github.com/nasa.png,2015-07-02T03:33:08.000Z,2023-10-26T01:39:29.000Z,2022-08-03T21:00:17.900Z,,https://github.com/nasa/DualPol,[],1.0,,,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/nasa%2FDualPol,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/nasa%2FDualPol/tags,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/nasa%2FDualPol/releases,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/nasa%2FDualPol/manifests,https://repos.ecosyste.ms/api/v1/hosts/GitHub/owners/nasa,https://codeload.github.com/nasa/DualPol/tar.gz/refs/heads/master,README.md,CHANGES.txt,,,LICENSE.md,,,,,,,,,,,,,,,,
577336560,nasa/889-Compliance-SAM-Tool-,nasa, Determine Vendor 889 Compliance for Procurements Topic tags: #SAM.GOV API #889 compliance #Procurement #Purchase card SRA number: LAR-20069-1 ,False,False,2023-02-09T15:41:02.000Z,267,2,0,0,5,main,2024-01-14T19:46:59.749Z,,[],,,Python,True,,,,,apache-2.0,,git,True,https://github.com/nasa.png,2022-12-12T14:11:43.000Z,2024-01-12T18:53:06.000Z,,,https://github.com/nasa/889-Compliance-SAM-Tool-,[],0.0,,,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/nasa%2F889-Compliance-SAM-Tool-,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/nasa%2F889-Compliance-SAM-Tool-/tags,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/nasa%2F889-Compliance-SAM-Tool-/releases,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/nasa%2F889-Compliance-SAM-Tool-/manifests,https://repos.ecosyste.ms/api/v1/hosts/GitHub/owners/nasa,https://codeload.github.com/nasa/889-Compliance-SAM-Tool-/tar.gz/refs/heads/main,,,,,,,,,,,,,,,,,,,,,
226949647,nasa/CARA_Analysis_Tools,nasa,,False,False,2024-01-12T23:02:53.000Z,27561,48,0,25,10,master,2024-01-13T12:55:09.396Z,,[],,,MATLAB,True,,,,,,,git,True,https://github.com/nasa.png,2019-12-09T19:23:39.000Z,2024-01-12T22:44:07.000Z,2024-01-13T04:03:01.809Z,46dcf28e-78a1-4dfb-9259-c006ac936191,https://github.com/nasa/CARA_Analysis_Tools,[],0.0,,,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/nasa%2FCARA_Analysis_Tools,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/nasa%2FCARA_Analysis_Tools/tags,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/nasa%2FCARA_Analysis_Tools/releases,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/nasa%2FCARA_Analysis_Tools/manifests,https://repos.ecosyste.ms/api/v1/hosts/GitHub/owners/nasa,https://codeload.github.com/nasa/CARA_Analysis_Tools/tar.gz/refs/heads/master,README.md,,,,,,,,,,,,,,,,,,,,
519397993,nasa/smd-open-science-guidelines,nasa,,False,False,2024-01-12T20:34:57.000Z,500,26,20,9,4,main,2024-01-13T11:25:43.064Z,,[],,,,True,,,,,other,,git,True,https://github.com/nasa.png,2022-07-30T02:22:59.000Z,2024-01-12T20:05:34.000Z,2023-10-05T02:22:37.176Z,f86030a9-fd90-495e-bbc5-99dcdd2e5791,https://github.com/nasa/smd-open-science-guidelines,[],0.0,,,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/nasa%2Fsmd-open-science-guidelines,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/nasa%2Fsmd-open-science-guidelines/tags,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/nasa%2Fsmd-open-science-guidelines/releases,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/nasa%2Fsmd-open-science-guidelines/manifests,https://repos.ecosyste.ms/api/v1/hosts/GitHub/owners/nasa,https://codeload.github.com/nasa/smd-open-science-guidelines/tar.gz/refs/heads/main,README.md,,Contributing.md,,LICENSE.MD,CODE_OF_CONDUCT.md,,,,,,,,,,,,,,,
