uuid,full_name,owner,description,archived,fork,pushed_at,size,stargazers_count,open_issues_count,forks_count,subscribers_count,default_branch,last_synced_at,etag,topics,latest_commit_sha,homepage,language,has_issues,has_wiki,has_pages,mirror_url,source_name,license,status,scm,pull_requests_enabled,icon_url,created_at,updated_at,dependencies_parsed_at,dependency_job_id,html_url,previous_names,tags_count,template,template_full_name,repository_url,tags_url,releases_url,manifests_url,owner_url,download_url,metadata.files.readme,metadata.files.changelog,metadata.files.contributing,metadata.files.funding,metadata.files.license,metadata.files.code_of_conduct,metadata.files.threat_model,metadata.files.audit,metadata.files.citation,metadata.files.codeowners,metadata.files.security,metadata.files.support,metadata.files.governance,commit_stats.total_commits,commit_stats.total_committers,commit_stats.mean_commits,commit_stats.dds,commit_stats.last_synced_commit,metadata.files.roadmap,metadata.files.authors,metadata.funding.github,metadata.funding.open_collective,commit_stats,metadata.funding.patreon,metadata.funding.ko_fi,metadata.funding.tidelift,metadata.funding.community_bridge,metadata.funding.liberapay,metadata.funding.issuehunt,metadata.funding.otechie,metadata.funding.custom
115622163,airbnb/k8s-webhook-handler,airbnb,,True,False,2022-01-01T15:32:48.000Z,103,24,2,8,5,master,2023-09-21T11:40:49.755Z,,[],,,Go,True,,,,,mit,,git,True,https://github.com/airbnb.png,2017-12-28T12:39:54.000Z,2023-01-28T02:33:16.000Z,2022-09-13T08:32:10.373Z,,https://github.com/airbnb/k8s-webhook-handler,"['itskoko/k8s-ci-purger', 'itskoko/k8s-webhook-handler']",15,,,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/airbnb%2Fk8s-webhook-handler,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/airbnb%2Fk8s-webhook-handler/tags,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/airbnb%2Fk8s-webhook-handler/releases,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/airbnb%2Fk8s-webhook-handler/manifests,https://repos.ecosyste.ms/api/v1/hosts/GitHub/owners/airbnb,https://codeload.github.com/airbnb/k8s-webhook-handler/tar.gz/refs/heads/master,README.md,,,,LICENSE,,,,,,,,,,,,,,,,,,,,,,,,,,
507042776,airbnb/OSSRH-81978,airbnb,,False,False,2022-06-24T14:36:48.000Z,0,0,0,0,6,main,2023-09-21T11:40:43.842Z,,[],,,,True,,,,,,,git,True,https://github.com/airbnb.png,2022-06-24T14:36:47.000Z,2022-06-24T14:36:47.000Z,2023-02-19T19:31:08.979Z,,https://github.com/airbnb/OSSRH-81978,[],0,,,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/airbnb%2FOSSRH-81978,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/airbnb%2FOSSRH-81978/tags,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/airbnb%2FOSSRH-81978/releases,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/airbnb%2FOSSRH-81978/manifests,https://repos.ecosyste.ms/api/v1/hosts/GitHub/owners/airbnb,https://codeload.github.com/airbnb/OSSRH-81978/tar.gz/refs/heads/main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20499999,airbnb/wechat-rails,airbnb,API and message handling for wechat in rails environment,False,True,2014-08-11T23:16:31.000Z,306,47,1,15,223,master,2023-09-21T11:40:43.564Z,,[],,,Ruby,False,,,,Eric-Guo/wechat,mit,,git,True,https://github.com/airbnb.png,2014-06-04T20:48:03.000Z,2022-01-31T07:44:25.000Z,,,https://github.com/airbnb/wechat-rails,[],0,,,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/airbnb%2Fwechat-rails,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/airbnb%2Fwechat-rails/tags,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/airbnb%2Fwechat-rails/releases,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/airbnb%2Fwechat-rails/manifests,https://repos.ecosyste.ms/api/v1/hosts/GitHub/owners/airbnb,https://codeload.github.com/airbnb/wechat-rails/tar.gz/refs/heads/master,README.md,,,,LICENSE,,,,,,,,,,,,,,,,,,,,,,,,,,
8763917,airbnb/marginalia,airbnb,Attach comments to ActiveRecord's SQL queries,False,True,2013-03-27T21:17:23.000Z,148,5,0,9,243,master,2023-09-21T11:40:43.212Z,,[],,,Ruby,False,,,,basecamp/marginalia,mit,,git,True,https://github.com/airbnb.png,2013-03-13T23:31:59.000Z,2019-07-03T20:47:26.000Z,,,https://github.com/airbnb/marginalia,[],0,,,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/airbnb%2Fmarginalia,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/airbnb%2Fmarginalia/tags,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/airbnb%2Fmarginalia/releases,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/airbnb%2Fmarginalia/manifests,https://repos.ecosyste.ms/api/v1/hosts/GitHub/owners/airbnb,https://codeload.github.com/airbnb/marginalia/tar.gz/refs/heads/master,README.md,,,,LICENSE,,,,,,,,,,,,,,,,,,,,,,,,,,
3607721,airbnb/sssp,airbnb,Software distribution by way of S3 signed URLs,False,False,2012-08-20T16:02:25.000Z,165,47,0,15,309,master,2023-09-21T11:40:43.162Z,,[],,,Haskell,True,,,,,other,,git,True,https://github.com/airbnb.png,2012-03-03T01:15:06.000Z,2023-09-02T02:51:59.000Z,2022-08-29T12:50:27.875Z,,https://github.com/airbnb/sssp,[],0,,,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/airbnb%2Fsssp,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/airbnb%2Fsssp/tags,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/airbnb%2Fsssp/releases,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/airbnb%2Fsssp/manifests,https://repos.ecosyste.ms/api/v1/hosts/GitHub/owners/airbnb,https://codeload.github.com/airbnb/sssp/tar.gz/refs/heads/master,README,,,,LICENSE,,,,,,,,,,,,,,,,,,,,,,,,,,
11269609,airbnb/docker-client,airbnb,Docker client library to access the Docker remote API.,False,True,2013-07-16T21:08:40.000Z,172,8,0,10,239,master,2023-09-21T11:40:42.938Z,,[],,,Ruby,False,,,,geku/docker-client,mit,,git,True,https://github.com/airbnb.png,2013-07-09T01:14:11.000Z,2019-07-03T20:47:32.000Z,,,https://github.com/airbnb/docker-client,[],0,,,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/airbnb%2Fdocker-client,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/airbnb%2Fdocker-client/tags,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/airbnb%2Fdocker-client/releases,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/airbnb%2Fdocker-client/manifests,https://repos.ecosyste.ms/api/v1/hosts/GitHub/owners/airbnb,https://codeload.github.com/airbnb/docker-client/tar.gz/refs/heads/master,README.md,,,,LICENSE.txt,,,,,,,,,,,,,,,,,,,,,,,,,,
6946979,airbnb/mixpanel-iphone,airbnb,iPhone tracking library for Mixpanel Analytics,False,True,2013-09-14T04:52:55.000Z,1217,11,0,10,241,master,2023-09-21T11:40:42.883Z,,[],,http://mixpanel.com,Objective-C,False,,,,mixpanel/mixpanel-iphone,other,,git,True,https://github.com/airbnb.png,2012-11-30T22:33:03.000Z,2020-01-17T06:40:47.000Z,,,https://github.com/airbnb/mixpanel-iphone,[],2,,,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/airbnb%2Fmixpanel-iphone,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/airbnb%2Fmixpanel-iphone/tags,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/airbnb%2Fmixpanel-iphone/releases,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/airbnb%2Fmixpanel-iphone/manifests,https://repos.ecosyste.ms/api/v1/hosts/GitHub/owners/airbnb,https://codeload.github.com/airbnb/mixpanel-iphone/tar.gz/refs/heads/master,README.md,CHANGES,,,LICENSE,,,,,,,,,,,,,,,,,,,,,,,,,,
124302705,airbnb/gradle-lint-plugin,airbnb,A pluggable and configurable linter tool for identifying and reporting on patterns of misuse or deprecations in Gradle scripts. ,False,True,2019-07-09T18:20:53.000Z,1584,2,0,6,4,master,2023-09-21T11:40:42.276Z,,[],,,Groovy,False,,,,nebula-plugins/gradle-lint-plugin,apache-2.0,,git,True,https://github.com/airbnb.png,2018-03-07T22:33:52.000Z,2020-04-18T05:45:37.000Z,2023-02-19T18:45:39.510Z,,https://github.com/airbnb/gradle-lint-plugin,[],100,,,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/airbnb%2Fgradle-lint-plugin,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/airbnb%2Fgradle-lint-plugin/tags,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/airbnb%2Fgradle-lint-plugin/releases,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/airbnb%2Fgradle-lint-plugin/manifests,https://repos.ecosyste.ms/api/v1/hosts/GitHub/owners/airbnb,https://codeload.github.com/airbnb/gradle-lint-plugin/tar.gz/refs/heads/master,README.md,,CONTRIBUTING.md,,LICENSE,,,,,,,,,,,,,,,,,,,,,,,,,,
36317811,airbnb/security_monkey,airbnb,Security Monkey,False,True,2015-08-12T20:47:54.000Z,8351,8,1,13,167,master,2023-09-21T11:40:41.905Z,,[],,,Python,False,,,,Netflix/security_monkey,apache-2.0,,git,True,https://github.com/airbnb.png,2015-05-26T19:09:21.000Z,2020-04-10T08:56:16.000Z,,,https://github.com/airbnb/security_monkey,[],21,,,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/airbnb%2Fsecurity_monkey,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/airbnb%2Fsecurity_monkey/tags,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/airbnb%2Fsecurity_monkey/releases,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/airbnb%2Fsecurity_monkey/manifests,https://repos.ecosyste.ms/api/v1/hosts/GitHub/owners/airbnb,https://codeload.github.com/airbnb/security_monkey/tar.gz/refs/heads/master,README.rst,,docs/contributing.rst,,LICENSE,,,,,,security_monkey/__init__.py,,,,,,,,,,,,,,,,,,,,
14569183,airbnb/marathon,airbnb,Mesos framework for long running services,False,True,2014-12-06T21:15:03.000Z,8405,14,0,11,232,production,2023-09-21T11:40:41.757Z,,[],,,JavaScript,False,,,,brndnmtthws/marathon,apache-2.0,,git,True,https://github.com/airbnb.png,2013-11-20T21:09:33.000Z,2019-08-21T20:30:04.000Z,,,https://github.com/airbnb/marathon,[],0,,,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/airbnb%2Fmarathon,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/airbnb%2Fmarathon/tags,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/airbnb%2Fmarathon/releases,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/airbnb%2Fmarathon/manifests,https://repos.ecosyste.ms/api/v1/hosts/GitHub/owners/airbnb,https://codeload.github.com/airbnb/marathon/tar.gz/refs/heads/production,README.md,,,,LICENSE,,,,,,,,,,,,,,,,,,,,,,,,,,
11269610,airbnb/docker-registry,airbnb,Registry server for Docker (hosting/delivering of repositories and images),False,True,2013-07-08T23:58:18.000Z,152,8,0,8,240,master,2023-09-21T11:40:37.432Z,,[],,http://docker.io,Python,False,,,,docker-archive/docker-registry,apache-2.0,,git,True,https://github.com/airbnb.png,2013-07-09T01:14:15.000Z,2020-03-11T12:05:37.000Z,2023-02-19T18:05:18.316Z,,https://github.com/airbnb/docker-registry,[],1,,,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/airbnb%2Fdocker-registry,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/airbnb%2Fdocker-registry/tags,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/airbnb%2Fdocker-registry/releases,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/airbnb%2Fdocker-registry/manifests,https://repos.ecosyste.ms/api/v1/hosts/GitHub/owners/airbnb,https://codeload.github.com/airbnb/docker-registry/tar.gz/refs/heads/master,README.md,,,,LICENSE,,,,,,,,,,,,,,,,,,,,,,,,,,
3261045,airbnb/statsd-ruby,airbnb,A Ruby Statsd client that isn't a direct port of the Python example code. Because Ruby isn't Python.,False,True,2011-12-30T21:13:17.000Z,104,6,0,9,239,master,2023-09-21T11:40:36.489Z,,[],,,Ruby,False,,,,github/statsd-ruby,mit,,git,True,https://github.com/airbnb.png,2012-01-24T23:51:32.000Z,2019-07-03T20:47:11.000Z,,,https://github.com/airbnb/statsd-ruby,[],0,,,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/airbnb%2Fstatsd-ruby,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/airbnb%2Fstatsd-ruby/tags,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/airbnb%2Fstatsd-ruby/releases,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/airbnb%2Fstatsd-ruby/manifests,https://repos.ecosyste.ms/api/v1/hosts/GitHub/owners/airbnb,https://codeload.github.com/airbnb/statsd-ruby/tar.gz/refs/heads/master,README.rdoc,,,,LICENSE.txt,,,,,,,,,,,,,,,,,,,,,,,,,,
