uuid,full_name,owner,description,archived,fork,pushed_at,size,stargazers_count,open_issues_count,forks_count,subscribers_count,default_branch,last_synced_at,etag,topics,latest_commit_sha,homepage,language,has_issues,has_wiki,has_pages,mirror_url,source_name,license,status,scm,pull_requests_enabled,icon_url,created_at,updated_at,dependencies_parsed_at,dependency_job_id,html_url,commit_stats,previous_names,tags_count,template,template_full_name,repository_url,tags_url,releases_url,manifests_url,owner_url,download_url,metadata.files.readme,metadata.files.changelog,metadata.files.contributing,metadata.files.funding,metadata.files.license,metadata.files.code_of_conduct,metadata.files.threat_model,metadata.files.audit,metadata.files.citation,metadata.files.codeowners,metadata.files.security,metadata.files.support,metadata.files.governance,metadata.files.roadmap,metadata.files.authors,commit_stats.total_commits,commit_stats.total_committers,commit_stats.mean_commits,commit_stats.dds,commit_stats.last_synced_commit
508778071,CMSgov/easi-shared,CMSgov,,False,False,2023-10-30T15:19:34.000Z,55,0,5,0,5,main,2024-01-01T15:21:42.080Z,,[],,,Go,True,,,,,,,git,True,https://github.com/CMSgov.png,2022-06-29T17:02:19.000Z,2022-07-01T21:45:47.000Z,2023-01-30T16:01:34.012Z,,https://github.com/CMSgov/easi-shared,,[],3.0,,,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/CMSgov%2Feasi-shared,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/CMSgov%2Feasi-shared/tags,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/CMSgov%2Feasi-shared/releases,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/CMSgov%2Feasi-shared/manifests,https://repos.ecosyste.ms/api/v1/hosts/GitHub/owners/CMSgov,https://codeload.github.com/CMSgov/easi-shared/tar.gz/refs/heads/main,README.md,,,,,,,,,.github/CODEOWNERS,,,,,,,,,,
49071798,CMSgov/bluebutton-data-server,CMSgov,Deprecated. Migrated into monorepo: https://github.com/CMSgov/beneficiary-fhir-data,True,False,2019-08-30T16:59:42.000Z,28574,23,0,8,16,master,2023-12-21T00:45:47.663Z,,[],,https://github.com/CMSgov/beneficiary-fhir-data,Java,False,,,,,other,,git,True,https://github.com/CMSgov.png,2016-01-05T14:43:54.000Z,2023-01-28T17:23:14.000Z,2022-09-13T08:41:38.319Z,,https://github.com/CMSgov/bluebutton-data-server,,"['hhsidealab/bluebutton-server', 'karlmdavis/bbonfhir-server']",57.0,,,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/CMSgov%2Fbluebutton-data-server,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/CMSgov%2Fbluebutton-data-server/tags,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/CMSgov%2Fbluebutton-data-server/releases,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/CMSgov%2Fbluebutton-data-server/manifests,https://repos.ecosyste.ms/api/v1/hosts/GitHub/owners/CMSgov,https://codeload.github.com/CMSgov/bluebutton-data-server/tar.gz/refs/heads/master,README.md,,CONTRIBUTING.md,,LICENSE.md,,,,,,,,,,,,,,,
467206098,CMSgov/mint-app,CMSgov,MINT App,False,False,2023-12-19T16:22:31.000Z,207428,2,9,0,6,main,2023-12-19T17:16:55.336Z,,"['graphql', 'serverless']",,,TypeScript,True,,,,,apache-2.0,,git,True,https://github.com/CMSgov.png,2022-03-07T18:07:06.000Z,2023-12-20T17:44:15.341Z,2023-10-26T21:24:15.291Z,14f4dddd-74d6-4d21-9ffb-ef8f33c0a442,https://github.com/CMSgov/mint-app,,[],0.0,,,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/CMSgov%2Fmint-app,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/CMSgov%2Fmint-app/tags,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/CMSgov%2Fmint-app/releases,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/CMSgov%2Fmint-app/manifests,https://repos.ecosyste.ms/api/v1/hosts/GitHub/owners/CMSgov,https://codeload.github.com/CMSgov/mint-app/tar.gz/refs/heads/main,README.md,,,,LICENSE,,,,,.github/CODEOWNERS,,,,,,,,,,
203852942,CMSgov/beneficiary-fhir-data,CMSgov,,False,False,2023-12-19T15:41:11.000Z,98845,48,11,29,28,master,2023-12-19T16:03:00.770Z,,[],,,Java,True,,,,,other,,git,True,https://github.com/CMSgov.png,2019-08-22T18:41:16.000Z,2024-01-17T17:40:28.471Z,2023-12-20T19:59:19.620Z,,https://github.com/CMSgov/beneficiary-fhir-data,,[],119.0,,,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/CMSgov%2Fbeneficiary-fhir-data,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/CMSgov%2Fbeneficiary-fhir-data/tags,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/CMSgov%2Fbeneficiary-fhir-data/releases,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/CMSgov%2Fbeneficiary-fhir-data/manifests,https://repos.ecosyste.ms/api/v1/hosts/GitHub/owners/CMSgov,https://codeload.github.com/CMSgov/beneficiary-fhir-data/tar.gz/refs/heads/master,README.md,,CONTRIBUTING.md,,LICENSE.md,,,,,.github/CODEOWNERS,,,,,,,,,,
50124180,CMSgov/bluebutton-parent-pom,CMSgov,Deprecated. Migrated into monorepo: https://github.com/CMSgov/beneficiary-fhir-data,True,False,2019-08-19T23:44:18.000Z,72,0,0,8,15,master,2023-12-18T03:51:55.078Z,,[],,https://github.com/CMSgov/beneficiary-fhir-data,Python,True,,,,,other,,git,True,https://github.com/CMSgov.png,2016-01-21T17:28:52.000Z,2023-01-28T17:23:15.000Z,2023-03-09T08:00:24.822Z,,https://github.com/CMSgov/bluebutton-parent-pom,,['karlmdavis/bluebutton-parent-pom'],0.0,,,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/CMSgov%2Fbluebutton-parent-pom,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/CMSgov%2Fbluebutton-parent-pom/tags,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/CMSgov%2Fbluebutton-parent-pom/releases,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/CMSgov%2Fbluebutton-parent-pom/manifests,https://repos.ecosyste.ms/api/v1/hosts/GitHub/owners/CMSgov,https://codeload.github.com/CMSgov/bluebutton-parent-pom/tar.gz/refs/heads/master,,,,,,,,,,,,,,,,,,,,
530642832,CMSgov/qpp-eu-data,CMSgov,This repository publishes the county-zipcode crosswalk data used for determining the providers eligible Extreme And Uncontrollable Circumstances Hardship.  ,False,False,2023-12-08T19:55:12.000Z,15924,3,1,0,20,main,2023-12-08T20:35:26.823Z,,"['eu', 'fema', 'hardship', 'qpp']",,,Python,True,,,,,cc0-1.0,,git,True,https://github.com/CMSgov.png,2022-08-30T12:17:03.000Z,2023-07-30T01:46:56.000Z,2023-12-08T20:44:10.781Z,,https://github.com/CMSgov/qpp-eu-data,,[],0.0,,,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/CMSgov%2Fqpp-eu-data,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/CMSgov%2Fqpp-eu-data/tags,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/CMSgov%2Fqpp-eu-data/releases,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/CMSgov%2Fqpp-eu-data/manifests,https://repos.ecosyste.ms/api/v1/hosts/GitHub/owners/CMSgov,https://codeload.github.com/CMSgov/qpp-eu-data/tar.gz/refs/heads/main,README.md,,.github/CONTRIBUTING.md,,LICENSE,,,,,.github/CODEOWNERS,SECURITY.md,,,,,,,,,
729147397,CMSgov/hpt-validator-tool,CMSgov,,False,False,2023-12-08T14:49:42.000Z,0,0,0,0,2,main,2023-12-08T15:32:19.793Z,,[],,,,True,,,,,other,,git,True,https://github.com/CMSgov.png,2023-12-08T14:26:24.000Z,2023-12-08T14:56:29.000Z,,846931fd-91a7-42d9-aada-14c1614102d1,https://github.com/CMSgov/hpt-validator-tool,,['cmsgov/hpt-validator-tools'],,,,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/CMSgov%2Fhpt-validator-tool,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/CMSgov%2Fhpt-validator-tool/tags,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/CMSgov%2Fhpt-validator-tool/releases,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/CMSgov%2Fhpt-validator-tool/manifests,https://repos.ecosyste.ms/api/v1/hosts/GitHub/owners/CMSgov,https://codeload.github.com/CMSgov/hpt-validator-tool/tar.gz/refs/heads/main,,,,,,,,,,,,,,,,,,,,
329418553,CMSgov/CMCS-DSG-DSS-Certification-Staging,CMSgov,"(This is the STAGING repo.) Welcome to the MES Certification Repository, a collaborative community for CMS, states, and vendors. For more information about the repository, and how to use it, take a look at the ReadMe section.",False,False,2023-12-07T14:31:01.000Z,3692,9,10,7,12,staging,2023-12-07T15:27:14.136Z,,[],,https://cmsgov.github.io/CMCS-DSG-DSS-Certification-Staging/,JavaScript,True,,,,,other,,git,True,https://github.com/CMSgov.png,2021-01-13T20:04:01.000Z,2023-12-07T15:27:14.969Z,2023-02-16T15:31:35.677Z,1bd6d44f-a942-4272-95f6-56b4b1151eb9,https://github.com/CMSgov/CMCS-DSG-DSS-Certification-Staging,,[],0.0,,,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/CMSgov%2FCMCS-DSG-DSS-Certification-Staging,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/CMSgov%2FCMCS-DSG-DSS-Certification-Staging/tags,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/CMSgov%2FCMCS-DSG-DSS-Certification-Staging/releases,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/CMSgov%2FCMCS-DSG-DSS-Certification-Staging/manifests,https://repos.ecosyste.ms/api/v1/hosts/GitHub/owners/CMSgov,https://codeload.github.com/CMSgov/CMCS-DSG-DSS-Certification-Staging/tar.gz/refs/heads/staging,readme.md,,,,LICENSE.md,,,,,,,,,,,,,,,
335712359,CMSgov/T-MSIS-Data-Quality-Measures-Generation-Code,CMSgov,,False,False,2023-11-20T22:02:48.000Z,63333,13,0,1,10,main,2023-11-21T19:26:32.977Z,,[],,,Python,True,,,,,cc0-1.0,,git,True,https://github.com/CMSgov.png,2021-02-03T18:06:21.000Z,2023-10-03T16:37:40.000Z,2023-11-20T19:36:37.684Z,,https://github.com/CMSgov/T-MSIS-Data-Quality-Measures-Generation-Code,,[],0.0,,,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/CMSgov%2FT-MSIS-Data-Quality-Measures-Generation-Code,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/CMSgov%2FT-MSIS-Data-Quality-Measures-Generation-Code/tags,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/CMSgov%2FT-MSIS-Data-Quality-Measures-Generation-Code/releases,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/CMSgov%2FT-MSIS-Data-Quality-Measures-Generation-Code/manifests,https://repos.ecosyste.ms/api/v1/hosts/GitHub/owners/CMSgov,https://codeload.github.com/CMSgov/T-MSIS-Data-Quality-Measures-Generation-Code/tar.gz/refs/heads/main,README_Public_Repo.md,,,,LICENSE,,,,,.github/CODEOWNERS,,,,,,,,,,
633454151,CMSgov/hpt-validator-cli,CMSgov,CLI for validating CMS Hospital Price Transparency machine-readable files,False,False,2023-11-21T16:50:18.000Z,82,2,0,1,6,main,2023-11-21T17:33:00.313Z,,[],,,TypeScript,True,,,,,other,,git,True,https://github.com/CMSgov.png,2023-04-27T14:29:33.000Z,2023-06-30T16:46:08.000Z,2023-11-21T17:32:43.884Z,,https://github.com/CMSgov/hpt-validator-cli,,['cmsgov/hpt-validator-cli'],2.0,,,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/CMSgov%2Fhpt-validator-cli,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/CMSgov%2Fhpt-validator-cli/tags,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/CMSgov%2Fhpt-validator-cli/releases,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/CMSgov%2Fhpt-validator-cli/manifests,https://repos.ecosyste.ms/api/v1/hosts/GitHub/owners/CMSgov,https://codeload.github.com/CMSgov/hpt-validator-cli/tar.gz/refs/heads/main,README.md,,CONTRIBUTING.md,,LICENSE.md,,,,,,SECURITY.md,,,,,,,,,
