uuid,full_name,owner,description,archived,fork,pushed_at,size,stargazers_count,open_issues_count,forks_count,subscribers_count,default_branch,last_synced_at,etag,topics,latest_commit_sha,homepage,language,has_issues,has_wiki,has_pages,mirror_url,source_name,license,status,scm,pull_requests_enabled,icon_url,created_at,updated_at,dependencies_parsed_at,dependency_job_id,html_url,commit_stats,previous_names,tags_count,template,template_full_name,repository_url,tags_url,releases_url,manifests_url,owner_url,download_url,metadata.files.readme,metadata.files.changelog,metadata.files.contributing,metadata.files.funding,metadata.files.license,metadata.files.code_of_conduct,metadata.files.threat_model,metadata.files.audit,metadata.files.citation,metadata.files.codeowners,metadata.files.security,metadata.files.support,metadata.files.governance
51636512,houstondatavis/data-jam-february-2016,houstondatavis,,False,False,2016-03-14T00:24:18.000Z,139406,1,0,6,4,master,2023-03-02T07:16:50.874Z,,[],,,Jupyter Notebook,True,,,,,,,git,True,https://github.com/houstondatavis.png,2016-02-13T07:20:37.000Z,2020-07-15T14:42:49.000Z,2023-03-10T07:00:16.883Z,,https://github.com/houstondatavis/data-jam-february-2016,,[],,,,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/houstondatavis%2Fdata-jam-february-2016,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/houstondatavis%2Fdata-jam-february-2016/tags,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/houstondatavis%2Fdata-jam-february-2016/releases,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/houstondatavis%2Fdata-jam-february-2016/manifests,https://repos.ecosyste.ms/api/v1/hosts/GitHub/owners/houstondatavis,https://codeload.github.com/houstondatavis/data-jam-february-2016/tar.gz/refs/heads/master,,,,,,,,,,,,,
75451555,houstondatavis/data-jam-december-2016,houstondatavis,,False,False,2016-12-04T15:57:29.000Z,1877,1,1,4,3,master,2023-03-02T07:16:50.590Z,,[],,,,True,,,,,,,git,True,https://github.com/houstondatavis.png,2016-12-03T04:27:30.000Z,2016-12-11T14:12:35.000Z,2023-03-10T07:00:16.374Z,,https://github.com/houstondatavis/data-jam-december-2016,,[],,,,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/houstondatavis%2Fdata-jam-december-2016,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/houstondatavis%2Fdata-jam-december-2016/tags,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/houstondatavis%2Fdata-jam-december-2016/releases,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/houstondatavis%2Fdata-jam-december-2016/manifests,https://repos.ecosyste.ms/api/v1/hosts/GitHub/owners/houstondatavis,https://codeload.github.com/houstondatavis/data-jam-december-2016/tar.gz/refs/heads/master,,,,,,,,,,,,,
100801453,houstondatavis/data-jam-august-2017,houstondatavis,,False,False,2017-08-19T15:20:15.000Z,28635,0,0,0,5,master,2023-03-02T07:16:50.233Z,,[],,,R,True,,,,,,,git,True,https://github.com/houstondatavis.png,2017-08-19T14:56:41.000Z,2017-08-19T15:20:19.000Z,2023-03-10T07:00:16.410Z,,https://github.com/houstondatavis/data-jam-august-2017,,[],,,,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/houstondatavis%2Fdata-jam-august-2017,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/houstondatavis%2Fdata-jam-august-2017/tags,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/houstondatavis%2Fdata-jam-august-2017/releases,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/houstondatavis%2Fdata-jam-august-2017/manifests,https://repos.ecosyste.ms/api/v1/hosts/GitHub/owners/houstondatavis,https://codeload.github.com/houstondatavis/data-jam-august-2017/tar.gz/refs/heads/master,,,,,,,,,,,,,
65678602,houstondatavis/data-jam-august-2016,houstondatavis,,False,False,2016-08-27T06:33:50.000Z,19675,0,0,2,3,master,2023-03-02T07:16:49.947Z,,[],,,HTML,True,,,,,,,git,True,https://github.com/houstondatavis.png,2016-08-14T17:39:38.000Z,2016-08-25T04:52:04.000Z,2023-03-04T02:45:58.522Z,,https://github.com/houstondatavis/data-jam-august-2016,,[],,,,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/houstondatavis%2Fdata-jam-august-2016,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/houstondatavis%2Fdata-jam-august-2016/tags,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/houstondatavis%2Fdata-jam-august-2016/releases,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/houstondatavis%2Fdata-jam-august-2016/manifests,https://repos.ecosyste.ms/api/v1/hosts/GitHub/owners/houstondatavis,https://codeload.github.com/houstondatavis/data-jam-august-2016/tar.gz/refs/heads/master,,,,,,,,,,,,,
40393644,houstondatavis/data-jam-august-2015,houstondatavis,http://www.meetup.com/Houston-Data-Visualization-Meetup/events/224341959/,False,False,2015-08-13T15:45:27.000Z,584,3,0,2,3,master,2023-03-02T07:16:49.660Z,,[],,,HTML,True,,,,,,,git,True,https://github.com/houstondatavis.png,2015-08-08T06:18:51.000Z,2015-08-13T15:42:39.000Z,2022-09-09T15:51:38.408Z,,https://github.com/houstondatavis/data-jam-august-2015,,[],,,,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/houstondatavis%2Fdata-jam-august-2015,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/houstondatavis%2Fdata-jam-august-2015/tags,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/houstondatavis%2Fdata-jam-august-2015/releases,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/houstondatavis%2Fdata-jam-august-2015/manifests,https://repos.ecosyste.ms/api/v1/hosts/GitHub/owners/houstondatavis,https://codeload.github.com/houstondatavis/data-jam-august-2015/tar.gz/refs/heads/master,README.md,,,,,,,,,,,,
56743061,houstondatavis/data-jam-april-2016,houstondatavis,,False,False,2016-05-09T22:33:00.000Z,64609,1,0,2,2,master,2023-03-02T07:16:49.103Z,,[],,,R,True,,,,,,,git,True,https://github.com/houstondatavis.png,2016-04-21T04:43:08.000Z,2017-03-03T20:31:37.000Z,2023-03-10T01:15:31.957Z,,https://github.com/houstondatavis/data-jam-april-2016,,[],,,,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/houstondatavis%2Fdata-jam-april-2016,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/houstondatavis%2Fdata-jam-april-2016/tags,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/houstondatavis%2Fdata-jam-april-2016/releases,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/houstondatavis%2Fdata-jam-april-2016/manifests,https://repos.ecosyste.ms/api/v1/hosts/GitHub/owners/houstondatavis,https://codeload.github.com/houstondatavis/data-jam-april-2016/tar.gz/refs/heads/master,,,,,,,,,,,,,
72599869,houstondatavis/code_of_conduct,houstondatavis,,False,False,2016-11-02T17:10:15.000Z,5,0,0,1,3,master,2023-03-02T07:16:47.943Z,,[],,,,True,,,,,,,git,True,https://github.com/houstondatavis.png,2016-11-02T03:17:41.000Z,2016-11-02T03:17:41.000Z,2023-03-04T02:45:57.319Z,,https://github.com/houstondatavis/code_of_conduct,,[],,,,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/houstondatavis%2Fcode_of_conduct,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/houstondatavis%2Fcode_of_conduct/tags,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/houstondatavis%2Fcode_of_conduct/releases,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/houstondatavis%2Fcode_of_conduct/manifests,https://repos.ecosyste.ms/api/v1/hosts/GitHub/owners/houstondatavis,https://codeload.github.com/houstondatavis/code_of_conduct/tar.gz/refs/heads/master,,,,,,,,,,,,,
185247414,houstondatavis/awesome-public-datasets,houstondatavis,A topic-centric list of HQ open datasets. PR ☛☛☛,False,True,2019-04-30T05:01:35.000Z,713,1,0,0,5,master,2023-03-02T07:16:47.880Z,,[],,https://github.com/awesomedata/apd-core,,False,,,,awesomedata/awesome-public-datasets,mit,,git,True,https://github.com/houstondatavis.png,2019-05-06T18:08:19.000Z,2019-11-23T05:34:48.000Z,,,https://github.com/houstondatavis/awesome-public-datasets,,[],,,,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/houstondatavis%2Fawesome-public-datasets,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/houstondatavis%2Fawesome-public-datasets/tags,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/houstondatavis%2Fawesome-public-datasets/releases,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/houstondatavis%2Fawesome-public-datasets/manifests,https://repos.ecosyste.ms/api/v1/hosts/GitHub/owners/houstondatavis,https://codeload.github.com/houstondatavis/awesome-public-datasets/tar.gz/refs/heads/master,,,,,,,,,,,,,
228056265,houstondatavis/area-median-income-tool,houstondatavis,,False,False,2019-12-15T15:53:24.000Z,2831,0,0,0,5,master,2023-03-02T07:16:44.835Z,,[],,,R,True,,,,,,,git,True,https://github.com/houstondatavis.png,2019-12-14T16:50:42.000Z,2019-12-15T15:53:26.000Z,2023-04-27T16:45:58.341Z,,https://github.com/houstondatavis/area-median-income-tool,,[],,,,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/houstondatavis%2Farea-median-income-tool,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/houstondatavis%2Farea-median-income-tool/tags,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/houstondatavis%2Farea-median-income-tool/releases,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/houstondatavis%2Farea-median-income-tool/manifests,https://repos.ecosyste.ms/api/v1/hosts/GitHub/owners/houstondatavis,https://codeload.github.com/houstondatavis/area-median-income-tool/tar.gz/refs/heads/master,,,,,,,,,,,,,
185247375,houstondatavis/apd-core,houstondatavis,Core repo for,False,True,2019-04-30T04:37:32.000Z,362,0,0,0,5,master,2023-03-02T07:16:44.070Z,,[],,https://github.com/awesomedata/awesome-public-datasets,Python,False,,,,awesomedata/apd-core,gpl-3.0,,git,True,https://github.com/houstondatavis.png,2019-05-06T18:08:03.000Z,2019-05-06T18:08:06.000Z,,,https://github.com/houstondatavis/apd-core,,[],,,,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/houstondatavis%2Fapd-core,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/houstondatavis%2Fapd-core/tags,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/houstondatavis%2Fapd-core/releases,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/houstondatavis%2Fapd-core/manifests,https://repos.ecosyste.ms/api/v1/hosts/GitHub/owners/houstondatavis,https://codeload.github.com/houstondatavis/apd-core/tar.gz/refs/heads/master,,,,,,,,,,,,,
